id,conference,title,year,authors,doi
5275,IVI,Design Considerations for Collaborative Visual Analytics,2008,"Heer, Jeffrey, Agrawala, Maneesh",10.1057/palgrave.ivs.9500167
1252,IV,A Comparison of Methods for Visualizing Musical Genres,2012,"Holm, J., Siirtola, H.",10.1109/IV.2012.107
2393,EuroVis,Comparative Exploration of Document Collections: a Visual Analytics Approach,2014,"Oelke, D., Strobelt, H., Rohrdantz, C., Gurevych, I., Deussen, O.",10.1111/cgf.12376
3752,IV,"Visualising data for industrial heritage reuse studies: a case in Chongqing, China",2020,"Chen, J.",10.1109/IV51561.2020.00105
3587,journal,TopoMap: A 0-dimensional Homology Preserving Projection of High-Dimensional Data,2021,"Doraiswamy, H., Tierny, J., Silva, P. J. S., Nonato, L. G., Silva, C.",10.1109/TVCG.2020.3030441
2810,VAST,Visual social network analytics for relationship discovery in the enterprise,2011,"Perer, A., Guy, I., Uziel, E., Ronen, I., Jacovi, M.",10.1109/VAST.2011.6102443
1679,IV,PEx-WEB: Content-based Visualization of Web Search Results,2008,"Paulovich, F.V., Pinho, R., Botha, C.P., Heijs, A., Minghim, R.",10.1109/IV.2008.94
142,InfoVis,Sketching Designs Using the Five Design-Sheet Methodology,2016,"Roberts, J.C., Headleand, C., Ritsos, P.D.",10.1109/TVCG.2015.2467271
2968,VAST,How ideas flow across multiple social groups,2016,"Wang, X., Liu, S., Chen, Y., Peng, T. Q., Su, J., Yang, J., Guo, B.",10.1109/VAST.2016.7883511
3265,Vis,GUIRO: User-Guided Matrix Reordering,2020,"Behrisch, M., Schreck, T., Pfister, H.",10.1109/TVCG.2019.2934300
3368,prologue,Preface: Message from the VIS Paper Chairs and Guest Editors,2018,"Dwyer, T., Elmqvist, N., Fisher, B., Franconeri, S., Hotz, I., Kirby, R. M. M., Liu, S., Schreck, T., Yuan, X.",10.1109/TVCG.2017.2752518
1334,IV,Regeneration of the Traditional Folding Screen as Media Art,2009,"Lee, JuHyun, Kawaguchi, Y.",10.1109/IV.2009.90
730,journal,Visual Human+Machine Learning,2009,"Fuchs, R., Waser, J., Groller, M.E.",10.1109/TVCG.2009.199
